sampYear,sampMonth,sampDay,treatment,rep,depthTop,depthBottom,plot,suffix,study,concNO3,concNO3rr,concNH4,concNH4rr
2014,6,2,2,1,0,3,20,W,Rotation 2,5.69,,19.088,
2014,6,2,2,1,3,6,20,W,Rotation 2,4.221,,12.133,
2014,6,2,2,1,6,12,20,W,Rotation 2,13.921,,15.633,
2014,6,2,5,1,0,3,21,W,Rotation 2,43.505,,27.81,
2014,6,2,5,1,3,6,21,W,Rotation 2,15.539,,12.902,
2014,6,2,5,1,6,12,21,W,Rotation 2,24.949,,20.733,
2014,6,2,1,2,0,3,22,W,Rotation 2,5.26,,8.28,
2014,6,2,1,2,3,6,22,W,Rotation 2,5.271,,7.222,
2014,6,2,1,2,6,12,22,W,Rotation 2,10.566,,13.875,
2014,6,2,5,2,0,3,23,W,Rotation 2,9.673,,9.932,
2014,6,2,5,2,3,6,23,W,Rotation 2,6.469,,14.082,
2014,6,2,5,2,6,12,23,W,Rotation 2,19.562,,32.527,
2014,6,2,3,2,0,3,24,W,Rotation 2,5.979,,8.942,
2014,6,2,3,2,3,6,24,W,Rotation 2,3.463,,11.048,
2014,6,2,3,2,6,12,24,W,Rotation 2,10.11,,10.774,
2014,6,2,6,3,0,3,25,W,Rotation 2,8.765,,12.168,
2014,6,2,6,3,3,6,25,W,Rotation 2,5.269,,13.272,
2014,6,2,6,3,6,12,25,W,Rotation 2,15.088,,42.405,
2014,6,2,4,3,0,3,26,W,Rotation 2,19.879,,17.024,
2014,6,2,4,3,3,6,26,W,Rotation 2,15.088,,17.202,
2014,6,2,4,3,6,12,26,W,Rotation 2,21.723,,20.13,
2014,6,2,1,3,0,3,27,W,Rotation 2,3.567,,14.998,
2014,6,2,1,3,3,6,27,W,Rotation 2,4.249,,16.291,
2014,6,2,1,3,6,12,27,W,Rotation 2,13.123,,31.837,
2014,6,2,3,1,0,3,28,W,Rotation 2,104.114,131.210,10.845,10.900
2014,6,2,3,1,3,6,28,W,Rotation 2,22.63,,8.501,
2014,6,2,3,1,6,12,28,W,Rotation 2,30.569,,12.594,
2014,6,2,1,1,0,3,29,W,Rotation 2,6.291,,7.798,
2014,6,2,1,1,3,6,29,W,Rotation 2,3.931,,14.891,
2014,6,2,1,1,6,12,29,W,Rotation 2,7.156,,28.556,
2014,6,2,6,1,0,3,30,W,Rotation 2,49.567,,26.408,
2014,6,2,6,1,3,6,30,W,Rotation 2,15.062,,11.696,
2014,6,2,6,1,6,12,30,W,Rotation 2,29.229,,23.087,
2014,6,2,2,2,0,3,31,W,Rotation 2,87.941,,8.38,
2014,6,2,2,2,3,6,31,W,Rotation 2,34.805,,11.735,
2014,6,2,2,2,6,12,31,W,Rotation 2,50.094,,28.984,
2014,6,2,6,2,0,3,32,W,Rotation 2,7.111,,15.311,
2014,6,2,6,2,3,6,32,W,Rotation 2,6.801,,15.03,
2014,6,2,6,2,6,12,32,W,Rotation 2,18.455,,33.606,
